job_id,job_title,company_name,location,skills_required,experience_raw,work_mode,company_rating,job_url
18,Data Scientist,Genpact,"Hybrid - Hyderabad, Gurugram, Bengaluru","Generative Ai, Machine Learning, Python, Data Science, Natural Language Processing, Languages, Processing, Process",8-12 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-genpact-hyderabad-gurugram-bengaluru-8-to-12-years-090626026692
19,Marketing Data Scientist/Engineer,Wipro,"Hybrid - Noida, Kolkata, Bengaluru","Insight Generation, Statistical Modeling, Python, Marketing Database, Customer Analytics, R Program, SQL, Modeling",5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-marketing-data-scientist-engineer-wipro-noida-kolkata-bengaluru-5-to-10-years-050626025990
20,Data Scientist-Artificial Intelligence,IBM,Bangalore Rural,"kubernetes, scikit-learn, foundation, artificial intelligence, jquery, sql, react.js, tensorflow",7-9 Yrs,On-site,3.9,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-bangalore-rural-7-to-9-years-090626023322
21,Data Scientist,Alstom,Bengaluru,"data scientist, python, neural networks, ai, numpy, machine learning, artificial intelligence, sql",7-12 Yrs,On-site,3.7,https://www.naukri.com/job-listings-data-scientist-alstom-transport-india-ltd-bengaluru-7-to-12-years-080626934044
22,Data Scientist - Gen AI,Fractal Analytics,Bengaluru,"GIT, GCP, Analytical, Software development life cycle, Workflow, Application development, Natural language processing, Open source",3-5 Yrs,On-site,4.0,https://www.naukri.com/job-listings-data-scientist-gen-ai-fractal-analytics-ltd-bengaluru-3-to-5-years-100626500245
23,Data Scientist - Predictive Intelligence (Sensor Fusion & Time Series),Pump Academy,Bengaluru(Old Airport Road),"Agentic Ai, Generative Ai, Time Series, Deep Learning, Signal Processing, Data Engineering, ML Frameworks, IIoT Analytics",8-12 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-predictive-intelligence-sensor-fusion-time-series-pump-academy-bengaluru-8-to-12-years-090626023287
24,Data Scientist,Ecolab Global Services,Bengaluru,"data scientist, bs, project management, data science, mathematics, research, statistics, Project",3-5 Yrs,On-site,3.4,https://www.naukri.com/job-listings-data-scientist-ecolab-global-services-private-limited-bengaluru-3-to-5-years-080626934255
25,Data Scientist,Leading IT Service and Consulting Organization,"Hybrid - Gurugram, Bengaluru","Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Python, Tensorflow, Pytorch, GCP",5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-anlage-infotech-gurugram-bengaluru-5-to-10-years-080626001700
26,Data Scientist I,Sparta Systems,Bengaluru,"Computer science, Data analysis, Statistical modeling, data science, Analytical, Machine learning, Programming, Mathematics",0-5 Yrs,On-site,4.1,https://www.naukri.com/job-listings-data-scientist-i-spartasystems-bengaluru-0-to-5-years-040626501401
27,Hiring For data Scientist,Tech Mahindra,"Hybrid - Hyderabad, Pune, Bengaluru","Data Science, Artificial Intelligence, Natural Language Processing, Computer Vision, Machine Learning, Deep Learning, Python, Languages",5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-hiring-for-data-scientist-glauben-technologies-hyderabad-pune-bengaluru-5-to-10-years-080626009474
28,Data Scientist-Artificial Intelligence,IBM,Bengaluru,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",3-7 Yrs,On-site,3.9,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-030626928132
29,Data Scientist,Hackajob,"Hybrid - Pune, Bengaluru","Geospatial Data, Time Series, Statistical Modeling, Python, Machine Learning, Statistics, Time, Data",2-7 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-hackajob-pune-bengaluru-2-to-7-years-080626013651
30,Data Scientist,Ltimindtree,Hybrid - Bengaluru,"Agentic Ai, MS Copilot, Generative Ai, Machine Learning, Python, Artificial Intelligence, copilot studios, Power Platform",6-11 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-ltimindtree-bengaluru-6-to-11-years-090626033639
31,Data Scientist,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,"Pune, Gurugram, Bengaluru","Data Scientist, Ml Engineer, Azure, Ai, Rest Api, Devops, Vector Search, Design",3-6 Yrs,On-site,3.9,https://www.naukri.com/job-listings-data-scientist-volkswagen-group-technology-solutions-india-private-limited-pune-gurugram-bengaluru-3-to-6-years-040626927643
32,Data Scientist,Comviva Technology,Hybrid - Bengaluru,"Agentic Ai, MLops, AI/ML, RAG, Python, Ml, Artificial Intelligence, Aiml",3-5 Yrs,Hybrid,2.8,https://www.naukri.com/job-listings-data-scientist-comviva-technology-bengaluru-3-to-5-years-080626026027
33,Data Scientist GenAI / Machine Learning,Insight Global Technologies,Bengaluru,"Data Scientist, Artificial Intelligence, Machine Learning, Python, Tensorflow, Intelligence, Machine, Data",5-10 Yrs,On-site,3.5,https://www.naukri.com/job-listings-data-scientist-genai-machine-learning-insight-global-technologies-bengaluru-5-to-10-years-080626034918
34,Data Scientist - Gen AI,Fractal Analytics,"Noida, Mumbai, Hyderabad, Pune, Chennai, Gurugram, Bengaluru","GIT, GCP, Analytical, Software development life cycle, Workflow, Application development, Natural language processing, Open source",3-5 Yrs,On-site,4.0,https://www.naukri.com/job-listings-data-scientist-gen-ai-fractal-analytics-ltd-noida-mumbai-hyderabad-pune-chennai-gurugram-bengaluru-3-to-5-years-080626500797
35,Data Scientist,KPI Partners,"Hybrid - Hyderabad, Pune, Bengaluru","Aws Sagemaker, Demand Forecasting, AWS, Python, sql, Forecasting, Data",6-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-kpi-partners-hyderabad-pune-bengaluru-6-to-10-years-090626019188
36,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,Bengaluru,"Data analysis, data science, Analytical, Management consulting, Data quality, Forecasting, Operations, Analytics",2-9 Yrs,On-site,3.8,https://www.naukri.com/job-listings-data-scientist-time-series-statistical-modelling-azure-data-bricks-capco-technologies-pvt-ltd-bengaluru-2-to-9-years-050626502793
37,Gen AI Data Scientist,Tata Consultancy Services,"Pune, Chennai, Bengaluru","Data Engineering, llm, Retrieval Augmented Generation, Python, Data, Gen, Artificial Intelligence, Generation",5-10 Yrs,On-site,3.3,https://www.naukri.com/job-listings-gen-ai-data-scientist-tata-consultancy-services-pune-chennai-bengaluru-5-to-10-years-070626005008
38,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,"Hyderabad, Pune, Chennai, Gurugram, Bengaluru","Data analysis, data science, Analytical, Management consulting, Data quality, Forecasting, Operations, Analytics",2-9 Yrs,On-site,3.8,https://www.naukri.com/job-listings-data-scientist-time-series-statistical-modelling-azure-data-bricks-capco-technologies-pvt-ltd-hyderabad-pune-chennai-gurugram-bengaluru-2-to-9-years-050626501600
39,Data Scientist,Aon,Bengaluru,"Translation, data science, Scalability, Agile, Actuarial, Business partnering, Risk analysis, Corporate strategy",5-9 Yrs,On-site,3.8,https://www.naukri.com/job-listings-data-scientist-aon-bengaluru-5-to-9-years-050626502720
40,Data Scientist,Voya India,Bengaluru,"Predictive Modeling, Machine Learning, Python, SQL, Natural Language Processing, Modeling, Languages, Predictive",3-6 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-voya-india-bengaluru-3-to-6-years-090626014824
41,AI Data Engineer/Scientist,Wipro,Remote,"Natural Language Processing, Aiml, Python, Process, Languages, Processing, Data, Artificial Intelligence",4-8 Yrs,Remote,3.6,https://www.naukri.com/job-listings-ai-data-engineer-scientist-wipro-bengaluru-4-to-8-years-040626022459
42,Walkin Drive | Bangalore | June 13 | Data Scientist,Tata Consultancy Services,Bengaluru,"Generative Ai, Data Scientist, Aiml, Python, Drives, Data, Artificial Intelligence",13-Jun,On-site,3.3,https://www.naukri.com/job-listings-walkin-drive-bangalore-june-13-data-scientist-tata-consultancy-services-bengaluru-4-to-9-years-040626025289
43,Data Scientist,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru","Machine Learning, Python, SQL, Natural Language Processing, Hadoop, Data, Processing, Languages",6-10 Yrs,On-site,3.3,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-pune-bengaluru-6-to-10-years-040626017185
44,Data Scientist / AI/ML Engineer,Black and white Business Solution,"Hybrid - Hyderabad, Bengaluru","Artificial Intelligence, LangChain, RAG, LLM, Python, Generative Ai, Aiml, Data",5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-ai-ml-engineer-black-and-white-business-solutions-hyderabad-bengaluru-5-to-10-years-050626009061
45,Staff Data Scientist | (AI ML |Graph Neural Networks and NLP),Neuron7,Bengaluru,"Backend, Artificial Intelligence, Machine learning, Data processing, Silicon, Analytics, Monitoring, SQL",10-15 Yrs,On-site,2.4,https://www.naukri.com/job-listings-staff-data-scientist-ai-ml-graph-neural-networks-and-nlp-neuron7-ai-bengaluru-10-to-15-years-040626502932
46,Walk-in || Data Scientist,Tata Consultancy Services,Bengaluru,"Natural Language Processing, Python, Tensorflow, Cloud, Numpy, Data, Processing, Languages",13-Jun,On-site,3.3,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-bengaluru-6-to-11-years-040626015793
47,Data Scientist ( Gaming Industry Experince is Mandatory ),Popreach Technologies,Bengaluru,"Statistical modeling, Campaign management, data science, Diversity and Inclusion, Performance analysis, Gaming, IPS, Analytics",3-8 Yrs,On-site,4.9,https://www.naukri.com/job-listings-data-scientist-gaming-industry-experince-is-mandatory-popreach-technologies-bengaluru-3-to-8-years-050626501656
48,GenAI - Data Scientist,EXL,"Gurugram, Bengaluru","Natural Language Processing, Chatbot, LLM, Retrieval Augmented Generation, AWS, langchain, Chatbot Development, Machine Learning",7-10 Yrs,On-site,3.6,https://www.naukri.com/job-listings-genai-data-scientist-exl-gurugram-bengaluru-7-to-10-years-050626000098
49,Walk-in || Data Scientist(6+ yrs exp candidates only),Tata Consultancy Services,Bengaluru,"Data Science, Machine Learning, Python, Machine, Science, Data, Exp",13-Jun,On-site,3.3,https://www.naukri.com/job-listings-data-scientist-6-yrs-exp-candidates-only-tata-consultancy-services-bengaluru-6-to-11-years-040626010114
50,Snowflake AI/ML Engineer / Data Scientist,sharpheads,"Hybrid - Hyderabad, Pune, Bengaluru","Snowflake, Cortex, Machine Learning, Python, SQL, Data, Artificial Intelligence, Ml",4-9 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-snowflake-ai-ml-engineer-data-scientist-sharpheads-technologies-hyderabad-pune-bengaluru-4-to-9-years-050626013411
51,Data Scientist,Careernet,Hybrid - Bengaluru,"Data Science, Ncr, Ccn, Artificial Intelligence, Machine Learning, Machine, Science, Data",10-20 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-careernet-bengaluru-10-to-20-years-040626018097
52,Data Scientist,Ascendion Engineering,"Hybrid - Pune, Chennai, Bengaluru","Data Science, GCP, Vertex Ai, Bigquery, Python, US Pharma, Langchain, Langgraph",3-6 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-ascendion-engineering-pune-chennai-bengaluru-3-to-6-years-300426016620
53,Data Scientist-Gen AI,Leading IT Service and Consulting Organization,"Hybrid - Pune, Chennai, Bengaluru","Artificial Intelligence, Machine Learning, Deep Learning, Generative Artificial Intelligence, Python, Tensorflow, Natural Language Processing, Scikit-Learn",5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-gen-ai-anlage-infotech-pune-chennai-bengaluru-5-to-10-years-030626010224
54,Data Scientist,Calsoft,Bengaluru,"Agentic Ai, RAG, Python, Model Context Protocol, Genrative Ai, Natural Language Processing, LLM, Retrieval Augmented Generation",5-9 Yrs,On-site,2.8,https://www.naukri.com/job-listings-data-scientist-calsoft-bengaluru-5-to-9-years-290526008363
55,Data Scientist,Ujjivan Small Finance Bank,Bengaluru,"Fraud Analytics, Transaction Monitoring, Fraud Prevention, Fraud Analysis, Credit Card Fraud, Fraud Detection, Analytics, Cards",3-6 Yrs,On-site,4.0,https://www.naukri.com/job-listings-data-scientist-ujjivan-small-finance-bank-bengaluru-3-to-6-years-040626013475
56,Data Scientist,Tata Consultancy Services,"Chennai, Bengaluru, Mumbai (All Areas)","Data Science, Generative Ai, Typescript, Aiml, Microservices, DeepEval, Python, Data",5-10 Yrs,On-site,3.3,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-chennai-bengaluru-mumbai-all-areas-5-to-10-years-310526002811
57,Data Scientist /AI ML Engineer,Globallogic,Bengaluru,"hive, fundamentals, cursor, algorithms, data warehousing, data pipeline, artificial intelligence, sql",5-10 Yrs,On-site,3.5,https://www.naukri.com/job-listings-data-scientist-ai-ml-engineer-globallogic-bengaluru-5-to-10-years-020626016711
58,Data Scientist - 23 Feb (Sat)-Weekend Virtual Interview - Pan India,Tata Consultancy Services,"India, Bengaluru, Delhi / NCR","Data Science, Python, SQL, Machine Learning, Science, Interviewing, SAT, Machine",6 Yrs,On-site,3.3,https://www.naukri.com/job-listings-data-scientist-23-feb-sat-weekend-virtual-interview-pan-india-tata-consultancy-services-bengaluru-delhi-ncr-india-6-to-6-years-210526004106
59,Data Scientist,Clickpost,Bengaluru,"algorithms, python, data analysis, sas, natural language processing, mathematics, bi, power bi",4-6 Yrs,On-site,2.1,https://www.naukri.com/job-listings-data-scientist-clickpost-bengaluru-4-to-6-years-050626500145
60,Data Scientist,Novulis,Hybrid - Bengaluru,"Time Series Analysis, Machine Learning, Python, Retail, Lstm, Arima, Time Series, Demand Forecasting",10-20 Yrs,Hybrid,3.7,https://www.naukri.com/job-listings-data-scientist-novulis-bengaluru-10-to-20-years-040626012066
61,Data Scientist,Affine Analytics,Hybrid - Bengaluru,"Agentic Ai, RAG, Retrieval Augmented Generation, Python, Generation, Artificial Intelligence, Data",5-10 Yrs,Hybrid,3.3,https://www.naukri.com/job-listings-data-scientist-affine-analytics-bengaluru-5-to-10-years-030626010711
62,Data Scientist Rag,Affine Analytics,Hybrid - Bengaluru,"Agentic Ai, Rag, Retrieval Augmented Generation, Machine Learning, Python, Generation, Machine, Data",3-8 Yrs,Hybrid,3.3,https://www.naukri.com/job-listings-data-scientist-rag-affine-analytics-bengaluru-3-to-8-years-060626010535
63,Data Scientist (Non-Gaming),Popreach Technologies,Bengaluru,"advanced analytics, Statistical modeling, Prototype, pricing analysis, Diversity and Inclusion, Quantitative Analyst, Gaming, Forecasting",5-10 Yrs,On-site,4.9,https://www.naukri.com/job-listings-data-scientist-non-gaming-popreach-technologies-bengaluru-5-to-10-years-050626501911
64,Data Scientist,Premium,Bengaluru,"Data Science, Gen Ai, Azure, Chatbot, GenAI, Generative AI, LLM, Machine Learning",7-10 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-bengaluru-7-to-10-years-030626014075
65,Data Scientist with GenAI,Affine Analytics,Hybrid - Bengaluru,"Data Science, Agentic Ai, Retrieval Augmented Generation, Python, Generative Ai, Machine Learning, Generation, Machine",3-5 Yrs,Hybrid,3.3,https://www.naukri.com/job-listings-data-scientist-with-genai-affine-analytics-bengaluru-3-to-5-years-040626034944
66,Data Scientist,Ascendion Engineering,"Hybrid - Hyderabad, Chennai, Bengaluru","Vertex Ai, Bigquery, Data Science, OOPS, Neural Networks, Aiml, Deep Learning, Python",3-6 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-ascendion-engineering-hyderabad-chennai-bengaluru-3-to-6-years-050626006150
67,Data Scientist (With Databricks),Diggibyte Technologies,"Ahmedabad, Chennai, Bengaluru","Predictive Modeling, Generative Ai, Data Bricks, Artificial Intelligence, Natural Language Processing, Statistical Modeling, Data Analytics, Machine Learning",3-8 Yrs,On-site,3.4,https://www.naukri.com/job-listings-data-scientist-with-databricks-diggibyte-technologies-ahmedabad-chennai-bengaluru-3-to-8-years-040626033618
68,Data Scientist,Cloudxtreme,"Hybrid - Hyderabad, Chennai, Bengaluru","Data Science, Pyspark, Machine Learning, Data, Science, Machine",7-12 Yrs,Hybrid,4.2,https://www.naukri.com/job-listings-data-scientist-cloudxtreme-hyderabad-chennai-bengaluru-7-to-12-years-030626009418
69,Data Scientist,Aqilea,Bengaluru,"GCP, spark, Consulting, Machine learning, Information retrieval, model development, data enrichment, Monitoring",8-13 Yrs,On-site,4.6,https://www.naukri.com/job-listings-data-scientist-aqilea-formerly-soltia-bengaluru-8-to-13-years-030626504098
70,Data Scientist,Capgemini,"Hybrid - Hyderabad, Chennai, Bengaluru","Python, Etl Pipelines, Matplotlib, Prompt Engineering, Pandas, data scientist, Retrieval Augmented Generation, Machine Learning",6-9 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-capgemini-hyderabad-chennai-bengaluru-6-to-9-years-260526014011
71,Data Scientist,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Generative Ai, GCP, Bigquery, Python, Machine Learning, Data, Artificial Intelligence, Machine",6-8 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-capgemini-pune-bengaluru-mumbai-all-areas-6-to-8-years-260526013604
72,Data Scientist (LLM Security),Thales,Bengaluru,"llm security, python, application security, adversarial, Red Teaming, data scientist, Teaming, RED",6-11 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-llm-security-thales-bengaluru-6-to-11-years-270526024267
73,Data Scientist,Wipro,Bengaluru,"Gen AI, DeepEval, Langchain, Langgraph, RAGAS, RAG, LLM, LangSmith",8-13 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-wipro-bengaluru-8-to-13-years-260526038612
74,Data Scientist IV,Conduent,Bengaluru,"Data Scientist, Azure, Architecture, Sql Server, Hadoop, Cloud Architecture, Data Quality Management, Vmware",12-17 Yrs,On-site,3.4,https://www.naukri.com/job-listings-data-scientist-iv-conduent-business-services-india-llp-bengaluru-12-to-17-years-010626921451
75,data scientist,Movate Technologies,"Hybrid - Hyderabad, Chennai, Bengaluru","Aiml, machine learning, Retrieval Augmented Generation, Generation, Machine, Data",5-8 Yrs,Hybrid,3.1,https://www.naukri.com/job-listings-data-scientist-movate-technologies-hyderabad-chennai-bengaluru-5-to-8-years-230526009309
76,Data Scientist,Elios Technologies,Bengaluru,"Pandas, Machine Learning, Numpy, Python, Machine, Data",3-7 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-elios-technologies-bengaluru-3-to-7-years-030626027299
77,Data Scientist,Celebal Technologies,Bengaluru,"Machine Learning, SQL, Data Science, Retail, Python, Predictive Modeling, Arima, Artificial Intelligence",3-8 Yrs,On-site,3.0,https://www.naukri.com/job-listings-data-scientist-celebal-technologies-bengaluru-3-to-8-years-070626003269
78,Data Scientist (Machine Learning),US MNC (analytics),"Hybrid - Gurugram, Bengaluru, Delhi / NCR","Machine Learning, SQL, Data Science, Machine Learning Algorithms, Python, Predictive Modeling, Logistic Regression, Decision Tree",4-9 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-machine-learning-aspyra-hr-services-gurugram-bengaluru-delhi-ncr-4-to-9-years-050626021759
79,Data Scientist(MLOps)-7-10Yrs-PAN INDIA,Crescendo Global Leadership Hiring India,"Hybrid - Pune, Bengaluru, Delhi / NCR","Model deployment, LLM, SQL, Machine learning, Python, Generative AI, LLMOps, Bigquery",5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-mlops-7-10yrs-pan-india-crescendo-global-leadership-hiring-india-pune-bengaluru-delhi-ncr-5-to-10-years-050626011175
80,Hiring Data scientist,Ascendion Engineering,"Hybrid - Hyderabad, Pune, Bengaluru","Data Science, Vertex, Python, Gcp Bigquery, Science, GCP, Bigquery, Data",3-7 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-hiring-data-scientist-ascendion-engineering-hyderabad-pune-bengaluru-3-to-7-years-030626026567
81,Data Scientist,Celebal Technologies,"Bengaluru, Mumbai (All Areas)","Time Series, Demand Forecasting, Machine Learning, Agentic Ai, Generative Ai, Xgboost, Arima, K-Means",3-8 Yrs,On-site,3.0,https://www.naukri.com/job-listings-data-scientist-celebal-technologies-bengaluru-mumbai-all-areas-3-to-8-years-300426024055
82,Data Scientist,LanceSof,Bengaluru,"Data Science, Statistical Modeling, Machine Learning, Pyspark, Time Series Analysis, Python, Modeling, Science",6-8 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-lancesoft-bengaluru-6-to-8-years-200526012799
83,Data Scientist,EXL,"Hybrid - Pune, Gurugram, Bengaluru","Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Python, Data Science, Tensorflow, Neural Networks",4-9 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-exl-pune-gurugram-bengaluru-4-to-9-years-280526025321
84,Data Scientist,Ganit Business Solutions,"Mumbai, Bengaluru","Gen AI, Data Science, Python, Gen, Data, Artificial Intelligence, Science",5-8 Yrs,On-site,3.8,https://www.naukri.com/job-listings-data-scientist-ganit-business-solutions-mumbai-bengaluru-5-to-8-years-280526022010
85,Data Scientist,TEKsystems,"Hybrid - Pune, Bengaluru, Delhi / NCR","Data Science, MLOps, Decision engine, pharmaceutical data asset, python, Logistic Regression, ML modeling, sql",5-10 Yrs,Hybrid,3.6,https://www.naukri.com/job-listings-data-scientist-allegis-group-pune-bengaluru-delhi-ncr-5-to-10-years-260526019707
86,Data Scientist (Sql/Python/Pyspark/Tableau),Visa Consolidated Support Services India,Bengaluru,"Data Scientist, Acquisitions, Pyspark, Business Intelligence, Finance, Hadoop, Feature Engineering, Regression",4-6 Yrs,On-site,3.5,https://www.naukri.com/job-listings-data-scientist-sql-python-pyspark-tableau-visa-consolidated-support-services-india-pvt-ltd-bengaluru-4-to-6-years-270526936000
87,"Data Scientist, AI Engineering",Trinity Life Sciences,Bengaluru,"Scalability, Focus, Cloud, Programming, content generation, Deployment, Research, Python",1-5 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-ai-engineering-trinity-life-sciences-bengaluru-1-to-5-years-280526504181
88,Data Scientist (ML/AI),Philips,Bengaluru,"time series analysis, python, scikit-learn, mathematics, microsoft azure, machine learning, artificial intelligence, sql",5-10 Yrs,On-site,3.8,https://www.naukri.com/job-listings-data-scientist-ml-ai-philips-india-limited-bengaluru-5-to-10-years-020626502504
89,Data Scientist,Algoleap Technologies,Bengaluru,"hive, analytical, data mining, retail, sql, analytics, tensorflow, data science",3-6 Yrs,On-site,4.2,https://www.naukri.com/job-listings-data-scientist-algoleap-technologies-bengaluru-3-to-6-years-260526033196
90,Director - Data Scientist,Makemytrip,Bengaluru,"python, modeling, natural language processing, production, mathematics, machine learning, artificial intelligence, reinforcement learning",14-18 Yrs,On-site,3.4,https://www.naukri.com/job-listings-director-data-scientist-makemytrip-india-pvt-ltd-bengaluru-14-to-18-years-260526500549
91,Data Scientist,Axtria,"Hyderabad, Delhi / NCR, Bengaluru","Model Building, Deploying Models, Model Monitoring, Machine Learning, Python, Monitoring, Machine, Building",4-10 Yrs,On-site,2.7,https://www.naukri.com/job-listings-data-scientist-axtria-hyderabad-delhi-ncr-bengaluru-4-to-10-years-290526023406
92,Data Scientist,Leading Client,Bengaluru,"Data Scientist, Programming, Data Extraction, Machine Learning, Deep Learning, Sql, Data Science, R",7-12 Yrs,On-site,3.6,https://www.naukri.com/job-listings-data-scientist-ideslabs-private-limited-bengaluru-7-to-12-years-280526921400
